,chainPrice,promotionalPrice,provider_name
0,30.00,29.00,绰迪象旗舰店
1,55.00,53.00,绰迪象旗舰店
2,198.00,0.00,花语海外
3,14.00,13.00,绰迪象旗舰店
4,65.00,63.00,绰迪象旗舰店
5,89.00,0.00,花语海外
6,119.90,0.00,花语海外
7,88.00,0.00,花语海外
8,178.00,0.00,嗨菲客
9,59.00,0.00,海淘城
10,128.00,0.00,嗨菲客
11,53.00,0.00,集洋百货
12,132.80,0.00,嗨菲客
13,99.00,0.00,海淘城
14,128.00,0.00,嗨菲客
15,6.00,0.00,绰迪象旗舰店
16,98.00,97.00,瑞尔美
17,98.00,97.00,蜻蜓全球购
18,167.00,0.00,蜜汀海购
19,110.00,,瑞尔美
20,150.00,0.00,爸比喵购
21,88.00,0.00,瑞尔美
22,108.00,103.00,易采购海外
23,49.50,48.00,蜻蜓全球购
24,8.80,7.70,蜻蜓全球购
25,48.00,0.00,利辉国际
26,325.00,0.00,蜜汀海购
27,689.00,0.00,京霞
28,40.00,39.00,绰迪象旗舰店
29,89.00,0.00,爸比喵购
30,39.90,0.00,利辉国际
31,108.00,103.00,易采购海外
32,328.00,0.00,京霞
33,8.50,8.00,橙品
34,336.00,0.00,集洋百货
35,118.00,0.00,爸比喵购
36,158.00,150.00,易采购海外
37,55.00,54.00,绰迪象旗舰店
38,98.00,0.00,瑞尔美
39,42.00,40.00,绰迪象旗舰店
40,34.00,35.00,橙品
41,162.50,0.00,爸比喵购
42,108.00,0.00,奈氏力斯
43,71.45,0.00,爸比喵购
44,128.00,0.00,嗨菲客
45,155.00,0.00,橙品
46,189.00,0.00,APORT澳洲馆
47,238.00,0.00,嗨菲客
48,249.00,0.00,瑞尔美
49,85.00,0.00,蜻蜓全球购
50,100.00,98.00,绰迪象旗舰店
51,109.00,0.00,易采购海外
52,102.00,0.00,爸比喵购
53,158.00,0.00,爸比喵购
54,110.50,0.00,爸比喵购
55,125.00,0.00,蜜汀海购
56,115.00,0.00,花语海外
57,110.00,0.00,候鸟全球购
58,9999.90,0.00,爸比喵购
59,90.00,0.00,易采购海外
